team,rmsa attack,rmsa attack stdev,rmsa defend,rmsa defend stdev,rmsa,map_type,normalized rmsa
Dallas Fuel,1.5598397544668334,1.7545517137542739,1.904110810074652,1.7545517137542743,3.463950564541485,Push,58.67546773481609
Houston Outlaws,2.581084602911315,1.8378737962381486,0.8373762793081041,1.8378737962381486,3.418460882219419,Push,57.98388418954692
O2 Blast,0.9207206211370986,1.425677471119678,2.191896145589038,1.425677471119678,3.112616766726137,Push,53.33410984742202
Atlanta Reign,0.7924866379753125,1.4466816076877895,2.0582637997423405,1.4466816076877898,2.850750437717653,Push,49.352933568368094
Shanghai Dragons,1.1060366136861903,1.6314673557485568,1.5583537796145737,1.6314673557485568,2.664390393300764,Push,46.519685815573155
Los Angeles Gladiators,1.4772301669493708,1.7649106440549867,0.7953129842971581,1.7649106440549864,2.272543151246529,Push,40.56239855765893
Florida Mayhem,1.1011669994038433,1.8399177963006594,1.1572568651452677,1.839917796300659,2.258423864549111,Push,40.347741829969806
New York Excelsior,1.5698230199336498,1.831168320476882,0.08924978033718917,1.8311683204768818,1.659072800270839,Push,31.235756150233705
Hangzhou Spark,-0.27518087412783865,1.7265371565276857,1.695295227637711,1.7265371565276852,1.4201143535098724,Push,27.60285037144794
Washington Justice,2.244196842750811,1.1226057387684496,-1.0287852725540132,1.1226057387684494,1.2154115701967978,Push,24.49073638463628
Vancouver Titans,1.3228552934537479,1.7629279598985477,-2.2162034203554275,1.7629279598985477,-0.8933481269016796,Push,-7.568918310570394
Dreamers,-0.5796676147222992,1.445689731986353,-1.4367657053200067,1.4456897319863529,-2.0164333200423057,Push,-24.643278909803012
Rhodes,0.3774299878200033,1.1020439140890548,-2.4028562251711247,1.1020439140890548,-2.0254262373511214,Push,-24.779999003619245
PANTHERA,-1.722222738711877,1.0923602332888733,-0.8365212242579032,1.0923602332888733,-2.55874396296978,Push,-32.88807416727727
Vegas Eternal,-1.5598459596705092,1.116946575062609,-1.0436630490658487,1.1169465750626089,-2.603509008736358,Push,-33.56864100078907
Guangzhou Charge,-2.8609327610855058,1.7504680959421006,-0.701979660170579,1.7504680959421004,-3.562912421256085,Push,-48.15453343846542
Sin Prisa Gaming,-2.8601318986076416,1.4383018986861043,-1.3587387520436245,1.4383018986861043,-4.218870650651266,Push,-58.127122708748026
London Spitfire,-2.930038533984322,1.88723673424551,-2.1213891080110483,1.88723673424551,-5.05142764199537,Push,-70.78455811653679
Toronto Defiant,-4.274799838348666,1.8437549096167367,-1.478188795875224,1.843754909616737,-5.75298863422389,Push,-81.4504501048085
Los Angeles Valiant,-3.520013113341815,1.643993592107377,-3.2171030908170923,1.6439935921073763,-6.737116204158907,Push,-96.41222603004142
